City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Leh,IN,2022-11-18 09:47:51,34.1667,77.5833,28.42,48,100,0.13
211,Sambava,MG,2022-11-18 09:47:51,-14.2667,50.1667,81.32,66,30,10.38
212,Dauphin,CA,2022-11-18 09:47:52,51.1494,-100.0502,8.74,72,75,26.46
213,Lasalgaon,IN,2022-11-18 09:47:52,20.15,74.2333,79.86,25,0,10.0
214,Nhamunda,BR,2022-11-18 09:47:52,-2.1861,-56.7131,75.18,58,100,0.65
215,Baturaja,ID,2022-11-18 09:47:53,-4.1333,104.1667,80.04,83,84,3.13
216,Umm Kaddadah,SD,2022-11-18 09:47:53,13.6017,26.6876,83.16,12,3,14.07
217,Port Blair,IN,2022-11-18 09:47:54,11.6667,92.75,82.44,78,40,6.91
218,Ayagoz,KZ,2022-11-18 09:45:45,47.9714,80.4392,22.05,78,48,5.95
219,Ridge,US,2022-11-18 09:47:54,40.894,-72.8959,37.22,66,0,4.61
220,Asau,RO,2022-11-18 09:47:55,46.4333,26.4,34.72,63,86,4.81
221,Vila Nova De Milfontes,PT,2022-11-18 09:47:55,37.7238,-8.7828,60.26,64,26,16.08
222,Luderitz,NA,2022-11-18 09:47:56,-26.6481,15.1594,75.81,41,73,22.06
223,Sept-Iles,CA,2022-11-18 09:47:56,50.2001,-66.3821,24.06,81,100,5.75
224,Simpang,ID,2022-11-18 09:47:56,-1.2667,104.0833,83.73,74,100,1.57
225,Andenes,NO,2022-11-18 09:47:57,69.3143,16.1194,35.58,75,0,13.8
226,College,US,2022-11-18 09:47:57,64.8569,-147.8028,9.99,84,0,0.0
227,Belmonte,BR,2022-11-18 09:47:58,-15.8631,-38.8828,73.83,91,100,7.0
228,Pisco,PE,2022-11-18 09:47:58,-13.7,-76.2167,60.85,88,0,6.91
229,Castro,BR,2022-11-18 09:47:59,-24.7911,-50.0119,52.83,61,0,4.7
230,Axim,GH,2022-11-18 09:47:59,4.8699,-2.2405,84.31,65,9,3.24
231,Iquique,CL,2022-11-18 09:46:15,-20.2208,-70.1431,64.44,71,85,1.81
232,Dakar,SN,2022-11-18 09:49:00,14.6937,-17.4441,85.08,44,21,9.22
233,Leshukonskoye,RU,2022-11-18 09:49:00,64.8989,45.7622,31.87,94,100,4.74
234,Mayo,US,2022-11-18 09:49:01,38.8876,-76.5119,37.98,74,40,12.66
235,Olafsvik,IS,2022-11-18 09:49:01,64.8945,-23.7142,43.39,79,84,13.44
236,Pervomayskoye,RU,2022-11-18 09:49:02,43.919,46.7102,60.3,58,84,10.27
237,Benghazi,LY,2022-11-18 09:49:02,32.1167,20.0667,74.41,56,7,10.6
238,Yabassi,CM,2022-11-18 09:49:03,4.457,9.9682,89.49,57,91,1.83
239,Marzuq,YE,2022-11-18 09:49:03,14.4,46.4667,81.97,17,36,9.82
240,Airai,TL,2022-11-18 09:49:03,-8.9266,125.4092,65.19,89,100,1.88
241,Tarrega,ES,2022-11-18 09:47:47,41.647,1.1396,56.14,60,100,7.25
242,Manta,EC,2022-11-18 09:49:04,-0.95,-80.7333,71.38,83,100,5.75
243,Upington,ZA,2022-11-18 09:49:04,-28.4478,21.2561,82.78,16,0,8.05
244,Ambovombe,MG,2022-11-18 09:49:05,-25.1667,46.0833,82.38,53,1,12.35
245,Mahroni,IN,2022-11-18 09:49:05,24.5862,78.7288,77.2,21,0,7.23
246,Vieksniai,LT,2022-11-18 09:49:05,56.2333,22.5167,28.44,61,65,12.8
247,Salalah,OM,2022-11-18 09:47:46,17.0151,54.0924,86.09,58,20,9.22
248,Belaya Gora,RU,2022-11-18 09:49:06,68.5333,146.4167,-17.23,93,98,5.12
249,Moron,AR,2022-11-18 09:45:35,-34.6534,-58.6198,74.97,65,78,7.34
250,Vyazemskiy,RU,2022-11-18 09:49:07,47.5378,134.7525,27.55,97,99,6.71
251,Takoradi,GH,2022-11-18 09:49:07,4.8845,-1.7554,83.41,65,32,4.68
252,Constantine,DZ,2022-11-18 09:46:31,36.365,6.6147,67.41,52,20,10.36
